species;zone;protection;site;size;fid;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;52;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;75;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;112;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;80;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;107;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;148;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;130;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;140;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;100;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;130;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;150;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;70;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;80;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;110;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;130;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;120;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;140;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;124;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;145;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;95;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;130;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;145;;;;;;;
P.chilensis;South;ECIM;Reserva M;Big;70;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;69;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;104;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;145;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;60;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;150;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;90;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;90;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;110;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;110;;;;;;;
P.chilensis;South;ECIM;Reserva M;Medium;100;;;;;;;
P.chilensis;South;ECIM;Reserva M;Small;50;;;;;;;
P.chilensis;South;ECIM;Reserva M;Small;30;;;;;;;
P.chilensis;South;ECIM;Reserva M;Small;50;;;;;;;
P.chilensis;South;ECIM;Reserva M;Small;45;;;;;;;
P.chilensis;South;ECIM;Reserva M;Small;60;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;75;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;83;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;94;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;93;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;103;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;131;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;107;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;174;;;;;;;
A.punctatus;North;MEARB;Caramucho;Big;143;;;;;;;
A.punctatus;North;MEARB;Caramucho;Medium;81;;;;;;;
A.punctatus;North;MEARB;Caramucho;Medium;73;;;;;;;
A.punctatus;North;MEARB;Caramucho;Medium;112;;;;;;;
A.punctatus;North;MEARB;Caramucho;Medium;167;;;;;;;
A.punctatus;North;MEARB;Caramucho;Small;78;;;;;;;
A.punctatus;North;MEARB;Caramucho;Small;114;;;;;;;
A.punctatus;North;MEARB;Caramucho;Small;117;;;;;;;
A.punctatus;North;MEARB;Caramucho;Small;87;;;;;;;
A.punctatus;North;MEARB;Caramucho;Small;76;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Big;115;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Big;135;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Big;135;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Big;148;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Big;133;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Big;154;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Medium;83;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Medium;49;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Medium;69;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Small;43;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Small;64;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Small;74;;;;;;;
A.punctatus;North;MEARB;Las pizarras;Small;56;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Big;96;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Big;108;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Big;123;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Big;181;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Big;186;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Medium;103;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Medium;78;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Medium;115;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Medium;109;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Small;98;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Small;101;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Small;75;;;;;;;
A.punctatus;North;MEARB;Punta Tira AMERB;Small;82;;;;;;;
